dish_name,ingredient_name
"Salade César sans croûtons",parmesan
"Salade de concombres",concombre
"Salade grecque tomate, cocombre, poivron et féta",tomates
"Salade grecque tomate, cocombre, poivron et féta",concombre
"Salade grecque tomate, cocombre, poivron et féta",poivrons
"Salade grecque tomate, cocombre, poivron et féta",feta
"salade verte","salade verte"
"Saumon grillé",saumon
"choux fleurs et champignon gratiné",chou-fleur
"choux fleurs et champignon gratiné",champignons
"choux fleurs et champignon gratiné","fromage râpé"
"saumon/truite fumée","saumon ou truite fumé"
"Seiches grillées, légumes verts",seiches
"Seiches grillées, légumes verts","haricots verts"
"steak haché","steak haché"
"Tartare de saumon, avocat",saumon
"Tartare de saumon, avocat",avocat
"Tartare de saumon, avocat",citron
"tofu poelé",tofu
"Tomates farcies",tomates
"Tomates farcies","viande hachée"
"Tomates farcies",oignons
"Tomates mozzarella",tomates
"Tomates mozzarella",mozzarella
lentilles,lentilles
ratatouille,aubergines
ratatouille,courgettes
ratatouille,poivrons
ratatouille,tomates
"pipérade (poivron et tomages)",poivrons
"pipérade (poivron et tomages)",tomates
"pipérade (poivron et tomages)",oignons
sandwich,pain
sandwich,jambon
sandwich,fromage
taboulé,semoule
taboulé,tomates
taboulé,concombre
taboulé,citron
"nouilles chinoises minute","nouilles chinoises"
Melon,melon
gaspacho,tomates
gaspacho,concombre
gaspacho,poivrons
"soupe froide courgette menthe avec philadelphia",courgettes
"soupe froide courgette menthe avec philadelphia",menthe
"soupe froide courgette menthe avec philadelphia",philadelphia
"Chachouka (poivron, tomates et œufs)",poivrons
"Chachouka (poivron, tomates et œufs)",tomates
"Chachouka (poivron, tomates et œufs)",œufs
"gyoza vapeur",gyozas
"riz nature blanc/basmati",riz
"Aubergine fondues à la tomate",aubergines
"Aubergine fondues à la tomate",tomates
"Lasagne d'aubergine à la viande hachée",aubergines
"Lasagne d'aubergine à la viande hachée","viande hachée"
"Lasagne d'aubergine à la viande hachée","pâtes à lasagne"
"Lasagne d'aubergine à la viande hachée","fromage râpé"
"Lasagne d'aubergine à la viande hachée","sauce tomate"
"pomme de terrre en purée","pommes de terre"
"purée de courgette",courgettes
"purée de brocoli",brocolis
"légumes variés cuits","légumes variés"
"jambon blanc",jambon
